date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:55	1880/1880	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Jan%202018%2006:13:22%20GMT	https://designreset.com/preview-equation/default-light/plugins/treeview/default/40px.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/treeview/default/40px.png	(from https://designreset.com/preview-equation/default-light/plugins/treeview/default/style.min.css)
16:43:56	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:13:57%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsicons.eot	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsicons.eot	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
16:43:56	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:13:58%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsicons.eot?	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsiconsd41d.eot	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
16:43:57	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:13:58%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsicons.woff	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsicons.woff	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
16:43:58	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:13:58%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsicons.ttf	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsicons.ttf	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
16:43:58	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:13:59%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsicons.svg	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/codropsicons/codropsicons.svg	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
16:43:59	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:13:59%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/linecons.eot?-kux0c3	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/lineconsba9e.eot	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
16:43:59	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:14:00%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/linecons.eot?	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/lineconsd41d.eot	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
16:44:00	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:14:00%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/linecons.woff?-kux0c3	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/lineconsba9e.woff	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
16:44:00	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:14:01%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/linecons.ttf?-kux0c3	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/lineconsba9e.ttf	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
